sample_id,sample_type,age,bases,vcf_path,effective_territory
Cordblood_D2,cord,0,15752587568,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_D2.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H1,cord,0,2090970751,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H1.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H2,cord,0,5584921521,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H2.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H3,cord,0,5352593065,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H3.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H4,cord,0,6525135237,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H4.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H7,cord,0,5019313583,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H7.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI6,PBMCs,74,3826602494,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI6.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI7,PBMCs,71,5085070783,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI7.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI8,PBMCs,65,5303117156,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI8.indel_candidates_annotated.filtered.vcf.gz,33817126
UDI21_3x,T_cells,44,14862300660,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UDI21_3x.indel_candidates_annotated.filtered.vcf.gz,33817126
UDI22_3x,T_cells,44,17898105729,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UDI22_3x.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I7,PBMCs,57,5910641767,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I7.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I8,PBMCs,67,5267208740,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I8.indel_candidates_annotated.filtered.vcf.gz,33817126
CUH832_PBMC_CD4,T_cells,50,7886342892,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/CUH832_PBMC_CD4.indel_candidates_annotated.filtered.vcf.gz,33817126
CUH832_PBMC_CD8,T_cells,50,7795481782,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/CUH832_PBMC_CD8.indel_candidates_annotated.filtered.vcf.gz,33817126
CUH832_TILS_CD4,T_cells,50,10836813349,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/CUH832_TILS_CD4.indel_candidates_annotated.filtered.vcf.gz,33817126
CUH832_TILS_CD8,T_cells,50,13445504720,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/CUH832_TILS_CD8.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_D1,cord,0,11821785752,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_D1.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H5,cord,0,5083368660,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H5.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H6,cord,0,4168422910,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H6.indel_candidates_annotated.filtered.vcf.gz,33817126
UDI23_3x,T_cells,83,14730262827,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UDI23_3x.indel_candidates_annotated.filtered.vcf.gz,33817126
UDI24_3x,T_cells,83,10035458305,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UDI24_3x.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI1,PBMCs,63,7933663878,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI1.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI2,PBMCs,72,8786690045,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI2.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI3,PBMCs,72,5866898049,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI3.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI4,PBMCs,55,4823268478,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI4.indel_candidates_annotated.filtered.vcf.gz,33817126
UKCTOCS_UDI5,PBMCs,64,4176429713,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/UKCTOCS_UDI5.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I1,PBMCs,42,5381730894,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I1.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I2,PBMCs,81,6760969288,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I2.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I3,PBMCs,63,5139405917,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I3.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I4,PBMCs,68,5535547623,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I4.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I5,PBMCs,73,5180383948,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I5.indel_candidates_annotated.filtered.vcf.gz,33817126
LEGACY_I6,PBMCs,77,6913856559,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/LEGACY_I6.indel_candidates_annotated.filtered.vcf.gz,33817126
Cordblood_H8,cord,0,5069546673,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/Cordblood_H8.indel_candidates_annotated.filtered.vcf.gz,33817126
27YO_UDI5,T_cells,27,2002953298,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/27YO_UDI5.indel_candidates_annotated.filtered.vcf.gz,33817126
27YO_UDI6,T_cells,27,2503144685,/Users/marcodupuisrodriguez/Documents/PhD/VCS/Duplex_variant_caller/data/indels/filtered_vcf/27YO_UDI6.indel_candidates_annotated.filtered.vcf.gz,33817126
